state,visited
Alabama,4874747
Alaska,739795
Arkansas,3004279
Arizona,7016270
California,39536653
Colorado,5607154
Connecticut,3588184
Delaware,961939
Florida,20984400
Georgia,10429379
Hawaii,1427538
Iowa,3145711
Idaho,1716943
Illinois,12802023
Indiana,6666818
Kansas,2913123
Kentucky,4454189
Louisiana,4684333
Maine,1335907
Maryland,6052177
Massachusetts,6859819
Michigan,9962311
Minnesota,5576606
Missouri,6113532
Mississippi,2984100
Montana,1050493
North Carolina,10273419
North Dakota,755393
Nebraska,1920076
New Hampshire,1342795
New Jersey,9005644
New Mexico,2088070
Nevada,2998039
New York,19849399
Ohio,11658609
Oklahoma,3930864
Oregon,4142776
Pennsylvania,12805537
Rhode Island,1059639
South Carolina,5024369
South Dakota,869666
Tennessee,6715984
Texas,28304596
Utah,3101833
Virginia,8470020
Vermont,623657
Washington,7405743
Wisconsin,5795483
West Virginia,1815857
Wyoming,579315